BestsellerFic,Genre,GenreBin,Title,Author,Published Year,Publisher,Page,Price,authorgender(male0fe1team2),isFirstBestSeller,Duration,痕井穿Duration,痕井板Duration3(0=S1=L2=etc),Impact,year_rank,isGlobal50 of first year(False=0True=1)
2016,Literature&Fiction,6,The Girl on the Train,Paula Hawkins,2017,Riverhead Books,325,16,1,1,2,0,1,100806.3195,,1
2016,Literature&Fiction,6,The Nightingale,Kristin Hannah,2017,St. Martin's Griffin,608,17.99,1,1,2,0,1,187550,,1
2016,Teen&Youngadult,6,Harry Potter and the Chamber of Secrets: The・,J.K. Rowling,2020,Arthur A. Levine Books,452,10.99,1,0,1,0,0,14108600,,1
2016,Literature&Fiction,6,All the Light We Cannot See,Anthony Doerr,2017,Scribner,544,18,0,1,3,1,1,21429.1,,1
2016,Literature&Fiction,6,The Whistler,John Grisham,2016,Dell,470,9.99,0,0,1,0,0,6.35E+04,,1
2016,Teen&Youngadult,6,Miss Peregrine's Home for Peculiar Children (Miss・,Ransom Riggs,2013,Quirk Books,382,10.99,0,0,1,0,0,4.02E+04,,0
2016,Literature&Fiction,6,The Underground Railroad (Pulitzer Prize・,Colson Whitehead,2016,Anchor,336,16.95,0,1,1,0,0,34430,,0
2016,Literature&Fiction,6,Me Before You,Jojo Moyes,2018,Penguin Books,369,16,1,1,1,0,0,109091.7704,,1
2016,Teen&Youngadult,6,Harry Potter and the Sorcerer's Stone,J.K. Rowling,2020,Scholastic Inc.,368,21.67,1,0,1,0,0,7679870,,1
2016,Teen&Youngadult,6,The Giver (1) (Giver Quartet),Lois Lowry,2014,HMH Books for Young Readers,240,8.99,1,1,1,0,0,37840,,1
2015,Literature&Fiction,6,Go Set a Watchman,Harper Lee,2016,Harper Perennial Modern Classics,288,27.99,1,0,1,0,0,21100000,,1
2015,Literature&Fiction,6,The Martian,Andy Weir,2014,Broadway Books,369,12.99,0,1,1,0,0,93500,,1
2015,Literature&Fiction,6,Grey: Fifty Shades of Grey as Told by Christian・,E. L. James,2014,Vintage,257,15.95,1,0,1,0,0,44655050,,1
2015,Literature&Fiction,6,What If?: Serious Scientific Answers to Absurd・,Randall Munroe,2020,Houghton Mifflin Harcourt,500,28,0,0,2,0,1,18740.48,,1
2015,Literature&Fiction,6,Paper Towns,John Green,2009,Penguin Books,305,10.99,0,0,2,0,1,486200000,,1
2015,Literature&Fiction,6,A Game of Thrones / A Clash of Kings / A Storm・,George R. R. Martin,2013,Bantam,5216,49.95,0,0,2,0,1,373682.0426,,1
2015,Literature&Fiction,6,Rogue Lawyer,John Grisham,2015,Dell ,340,9.99,0,0,1,0,0,4.91E+04,,1
